index,url,brand,name,price,discount_price,thumbnail,color,category,tone
0,https://store.musinsa.com/app/goods/996189,무신사 스탠다드,릴렉스 핏 크루 넥 반팔 티셔츠 [라이트 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20190327/996189/996189_3_500.jpg,3,shortsleeve,summer
1,https://store.musinsa.com/app/goods/1035857,제로,Oversize Water Washed  T-Shirts [Charcoal],"29,000",,https://image.msscdn.net/images/goods_img/20190507/1035857/1035857_1_500.jpg,3,shortsleeve,summer
2,https://store.musinsa.com/app/goods/2295817,아디다스,엣지 샘 티 - 연그레이 / HN0385,"49,000","39,900",https://image.msscdn.net/images/goods_img/20220106/2295817/2295817_1_500.jpg,3,shortsleeve,fall
3,https://store.musinsa.com/app/goods/2301070,다이나핏,LAND (랜드) α 반팔티_H/Grey,"39,000",,https://image.msscdn.net/images/goods_img/20220111/2301070/2301070_1_500.jpg,3,shortsleeve,summer
4,https://store.musinsa.com/app/goods/996500,무신사 스탠다드,베이식 크루 넥 반팔 티셔츠 [멜란지 그레이],"10,900",,https://image.msscdn.net/images/goods_img/20190327/996500/996500_4_500.jpg,3,shortsleeve,summer
5,https://store.musinsa.com/app/goods/1117543,무신사 스탠다드,릴렉스 핏 크루 넥 반팔 티셔츠 [멜란지 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20190813/1117543/1117543_3_500.jpg,3,shortsleeve,summer
6,https://store.musinsa.com/app/goods/1382659,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_긴 기장 [미디엄 그레이],"13,900",,https://image.msscdn.net/images/goods_img/20200402/1382659/1382659_5_500.jpg,3,shortsleeve,summer
7,https://store.musinsa.com/app/goods/2301057,다이나핏,INSIDE (인사이드) 반팔티_H/Grey,"69,000",,https://image.msscdn.net/images/goods_img/20220111/2301057/2301057_1_500.jpg,3,shortsleeve,summer
8,https://store.musinsa.com/app/goods/2308824,엠엘비,하트 스몰로고 컴포터블핏 반팔 티셔츠 B (M.Grey),"49,000",,https://image.msscdn.net/images/goods_img/20220114/2308824/2308824_2_500.jpg,3,shortsleeve,fall
9,https://store.musinsa.com/app/goods/2288557,나이키,엠브로이드 퓨추라 반팔티 여자 AR5254-063,"22,800",,https://image.msscdn.net/images/goods_img/20220103/2288557/2288557_1_500.jpg,3,shortsleeve,summer
10,https://store.musinsa.com/app/goods/791894,집시,오버사이즈 쿨링베이스 티셔츠 -미드 그레이-,"49,900","27,900",https://image.msscdn.net/images/goods_img/20180531/791894/791894_1_500.jpg,3,shortsleeve,summer
11,https://store.musinsa.com/app/goods/2313059,마리끌레르,로고 배색 티셔츠 (MABBTS09M5),"41,400",,https://image.msscdn.net/images/goods_img/20220118/2313059/2313059_1_500.jpg,3,shortsleeve,fall
12,https://store.musinsa.com/app/goods/996517,무신사 스탠다드,크루 넥 7부 티셔츠 [멜란지 그레이],"12,900","10,290",https://image.msscdn.net/images/goods_img/20190327/996517/996517_4_500.jpg,3,shortsleeve,summer
13,https://store.musinsa.com/app/goods/2313629,골든구스,스타 GWP00880 P000193 60311 여성 반팔티셔츠,"100,000",,https://image.msscdn.net/images/goods_img/20220118/2313629/2313629_1_500.jpg,3,shortsleeve,summer
14,https://store.musinsa.com/app/goods/2308425,몽클레어,맥시 로고 8C00054 8390T 987 남자 반팔티셔츠 레귤러핏,"356,000",,https://image.msscdn.net/images/goods_img/20220114/2308425/2308425_1_500.jpg,3,shortsleeve,summer
15,https://store.musinsa.com/app/goods/2213197,꼼데가르송 플레이,여성 더블하트 와펜 반팔 티셔츠 - 그레이 / P1T2253 (AZT2250513),"125,000","105,000",https://image.msscdn.net/images/goods_img/20211102/2213197/2213197_1_500.jpg,3,shortsleeve,fall
16,https://store.musinsa.com/app/goods/1906711,유니폼브릿지,us navy s/s tee melange(8%),"39,000","31,200",https://image.msscdn.net/images/goods_img/20210419/1906711/1906711_1_500.jpg,3,shortsleeve,
17,https://store.musinsa.com/app/goods/1388780,무신사 스탠다드,[쿨탠다드] 쿨탠다드 릴렉스 핏 크루 넥 반팔 티셔츠 [미디엄 그레이],"15,900",,https://image.msscdn.net/images/goods_img/20200407/1388780/1388780_1_500.jpg,3,shortsleeve,summer
18,https://store.musinsa.com/app/goods/2300570,스톤아일랜드,21FW 백프린팅 반팔티 차콜 75152NS83,"213,000",,https://image.msscdn.net/images/goods_img/20220111/2300570/2300570_1_500.jpg,3,shortsleeve,fall
