,index,url,brand,name,price,discount_price,thumbnail,color,category
1778,878,https://store.musinsa.com/app/goods/1299299,춤선,wave sleeve t shirts brown,"36,000","28,500",https://image.msscdn.net/images/goods_img/20200210/1299299/1299299_1_500.jpg,29,longsleeve
1779,879,https://store.musinsa.com/app/goods/1460070,샤인온유,Collaboration Band linen top_Sand Beige,"98,000",,https://image.msscdn.net/images/goods_img/20200524/1460070/1460070_1_500.jpg,29,longsleeve
1780,880,https://store.musinsa.com/app/goods/1786462,메이노브1722,Razzle Dazzle Vertical Long Sleeve - Beige,"43,000","34,400",https://image.msscdn.net/images/goods_img/20210209/1786462/1786462_2_500.jpg,29,longsleeve
1781,881,https://store.musinsa.com/app/goods/1230622,바우스트,로고 프린팅 루즈핏 크롭 슬리브[BEIGE],"28,000",,https://image.msscdn.net/images/goods_img/20191119/1230622/1230622_4_500.jpg,29,longsleeve
1782,882,https://store.musinsa.com/app/goods/1595583,시야쥬,SI TP 5010 Boot-cut  Sleeve T-shirt_Gray smoke,"37,000",,https://image.msscdn.net/images/goods_img/20200910/1595583/1595583_1_500.jpg,29,longsleeve
1783,883,https://store.musinsa.com/app/goods/2091811,에이리프,크롭 루즈 맨투맨_베이지,"53,000",,https://image.msscdn.net/images/goods_img/20210826/2091811/2091811_1_500.jpg,29,longsleeve
1784,884,https://store.musinsa.com/app/goods/1429588,모트,소프트 긴팔티셔츠-베이지,"38,500",,https://image.msscdn.net/images/goods_img/20200502/1429588/1429588_1_500.jpg,29,longsleeve
1785,885,https://store.musinsa.com/app/goods/1618331,모빈스알,AXIO UNBAL EMBO TOP CLASSIC GREY,"89,000","44,500",https://image.msscdn.net/images/goods_img/20200923/1618331/1618331_2_500.jpg,29,longsleeve
1786,886,https://store.musinsa.com/app/goods/2160013,모노파틴,jumo heelflip  shirt –sand,"59,000",,https://image.msscdn.net/images/goods_img/20211001/2160013/2160013_1_500.png,29,longsleeve
1787,887,https://store.musinsa.com/app/goods/1792347,애스플래폼,AW11TL02 터틀넥 슬림탑_라이트 베이지,"49,000",,https://image.msscdn.net/images/goods_img/20210214/1792347/1792347_1_500.jpg,29,longsleeve
1788,888,https://store.musinsa.com/app/goods/2228358,맥나인도씨,심플 오버핏 하프라인 긴팔 티셔츠_베이지,"44,000","39,600",https://image.msscdn.net/images/goods_img/20211111/2228358/2228358_1_500.jpg,29,longsleeve
1789,889,https://store.musinsa.com/app/goods/2124140,인비저블,기자 코튼 롱슬리브 샌드베이지,"47,900","33,531",https://image.msscdn.net/images/goods_img/20210910/2124140/2124140_1_500.jpg,29,longsleeve
1790,890,https://store.musinsa.com/app/goods/2231804,핑크파인애플,PEACHED POLA NECK TS_BEIGE,"29,000",,https://image.msscdn.net/images/goods_img/20211115/2231804/2231804_1_500.jpg,29,longsleeve
