,index,url,brand,name,price,discount_price,thumbnail,category
29,29,https://store.musinsa.com/app/goods/836498,비바스튜디오,LOCATION CREWNECK [PASTEL BLUE],"58,000","34,800",https://image.msscdn.net/images/goods_img/20180823/836498/836498_2_500.jpg,sweatshirt
30,30,https://store.musinsa.com/app/goods/1595530,예일,(BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK GRAY,"72,000","36,000",https://image.msscdn.net/images/goods_img/20200910/1595530/1595530_3_500.jpg,sweatshirt
31,31,https://store.musinsa.com/app/goods/1755609,지프,Half  Zip-Up M-Logo Sweat  (JM5TSU838MG),"69,000","44,850",https://image.msscdn.net/images/goods_img/20210120/1755609/1755609_1_500.jpg,sweatshirt
32,32,https://store.musinsa.com/app/goods/1121465,트릴리온,컬러그라데이션 오버핏 맨투맨 TR9SMT001 (BLUE),"74,000","48,300",https://image.msscdn.net/images/goods_img/20190820/1121465/1121465_2_500.jpg,sweatshirt
33,33,https://store.musinsa.com/app/goods/1549284,마르디 메크르디,SWEATSHIRT FLOWERMARDI_NAVY VIOLET,"75,000",,https://image.msscdn.net/images/goods_img/20200814/1549284/1549284_1_500.jpg,sweatshirt
34,34,https://store.musinsa.com/app/goods/1755605,지프,Half  Zip-Up M-Logo Sweat  (JM5TSU838BK),"69,000","44,850",https://image.msscdn.net/images/goods_img/20210120/1755605/1755605_1_500.jpg,sweatshirt
35,35,https://store.musinsa.com/app/goods/2090646,내셔널지오그래픽,N214USW901 스탠다드 벨룩스 세미 오버핏 맨투맨 티셔츠 CARBON BLACK,"69,000",,https://image.msscdn.net/images/goods_img/20210826/2090646/2090646_1_500.jpg,sweatshirt
36,36,https://store.musinsa.com/app/goods/1563624,커버낫,C 로고 맨투맨 멜란지 그레이,"59,000","47,200",https://image.msscdn.net/images/goods_img/20200826/1563624/1563624_4_500.jpg,sweatshirt
37,37,https://store.musinsa.com/app/goods/1747034,아디다스,로고 스웨트 셔츠 - 블랙 / H37067,"79,000","24,900",https://image.msscdn.net/images/goods_img/20210113/1747034/1747034_3_500.jpg,sweatshirt
38,38,https://store.musinsa.com/app/goods/947068,무신사 스탠다드,스웨트 셔츠 [멜란지 그레이],"20,900","18,790",https://image.msscdn.net/images/goods_img/20190201/947068/947068_3_500.jpg,sweatshirt
39,39,https://store.musinsa.com/app/goods/1734299,[패밀리세일],미시간 울버린 피그먼트 스웨트셔츠 블랙 차콜,"59,000","39,900",https://image.msscdn.net/images/goods_img/20201231/1734299/1734299_3_500.jpg,sweatshirt
40,40,https://store.musinsa.com/app/goods/1571366,리,빅 트위치 루즈핏 크루넥 네이비,"59,000","41,300",https://image.msscdn.net/images/goods_img/20200831/1571366/1571366_6_500.jpg,sweatshirt
41,41,https://store.musinsa.com/app/goods/1119910,엠엠엘지,[Mmlg] MMLG SWEAT (PURPLE NAVY),"69,000","48,300",https://image.msscdn.net/images/goods_img/20190816/1119910/1119910_1_500.jpg,sweatshirt
42,42,https://store.musinsa.com/app/goods/1549285,마르디 메크르디,SWEATSHIRT FLOWERMARDI_GREY GREEN,"75,000",,https://image.msscdn.net/images/goods_img/20200814/1549285/1549285_1_500.jpg,sweatshirt
43,43,https://store.musinsa.com/app/goods/1595533,예일,(BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK CREAM,"72,000","43,200",https://image.msscdn.net/images/goods_img/20200910/1595533/1595533_3_500.jpg,sweatshirt
44,44,https://store.musinsa.com/app/goods/1760806,마크 곤잘레스,엔젤 나일론 스트링 맨투맨 올리브,"69,000","48,300",https://image.msscdn.net/images/goods_img/20210125/1760806/1760806_4_500.jpg,sweatshirt
45,45,https://store.musinsa.com/app/goods/2198089,지프,[기모]Half  Zip-Up M-Logo Sweat  (JM5TSU738MG),"69,000","58,650",https://image.msscdn.net/images/goods_img/20211026/2198089/2198089_1_500.jpg,sweatshirt
46,46,https://store.musinsa.com/app/goods/1747035,아디다스,로고 스웨트 셔츠 - 라이트 그레이 / H37068,"79,000","24,900",https://image.msscdn.net/images/goods_img/20210113/1747035/1747035_3_500.jpg,sweatshirt
47,47,https://store.musinsa.com/app/goods/2066417,예일,EMBROIDERY HANDSOME DAN CREWNECK BLACK,"69,000","41,400",https://image.msscdn.net/images/goods_img/20210817/2066417/2066417_2_500.jpg,sweatshirt
48,48,https://store.musinsa.com/app/goods/836499,비바스튜디오,LOCATION CREWNECK [INDIGO BLUE],"58,000","34,800",https://image.msscdn.net/images/goods_img/20180823/836499/836499_2_500.jpg,sweatshirt
49,49,https://store.musinsa.com/app/goods/836495,비바스튜디오,LOCATION CREWNECK [BLACK],"58,000","34,800",https://image.msscdn.net/images/goods_img/20180823/836495/836495_2_500.jpg,sweatshirt
50,50,https://store.musinsa.com/app/goods/1776446,예일,EMBROIDERY HANDSOME DAN CREWNECK GRAY,"69,000","41,400",https://image.msscdn.net/images/goods_img/20210203/1776446/1776446_2_500.jpg,sweatshirt
51,51,https://store.musinsa.com/app/goods/2134119,디스이즈네버댓,T-Logo Crewneck Black,"72,000","50,400",https://image.msscdn.net/images/goods_img/20210915/2134119/2134119_1_500.jpg,sweatshirt
52,52,https://store.musinsa.com/app/goods/2163396,예일,[ONEMILE WEAR] SMALL ARCH CREWNECK BLACK,"59,000","41,300",https://image.msscdn.net/images/goods_img/20211006/2163396/2163396_1_500.jpg,sweatshirt
53,53,https://store.musinsa.com/app/goods/1783595,지프,Half  Zip-Up M-Logo Sweat  (JM5TSU838MW),"69,000","44,850",https://image.msscdn.net/images/goods_img/20210208/1783595/1783595_1_500.jpg,sweatshirt
54,54,https://store.musinsa.com/app/goods/1629060,무신사 스탠다드,기모 스웨트셔츠 [블랙],"24,900",,https://image.msscdn.net/images/goods_img/20200928/1629060/1629060_1_500.jpg,sweatshirt
55,55,https://store.musinsa.com/app/goods/1272201,비바스튜디오,LOCATION CREWNECK [IVORY],"58,000","34,800",https://image.msscdn.net/images/goods_img/20200115/1272201/1272201_2_500.jpg,sweatshirt
56,56,https://store.musinsa.com/app/goods/2198120,지프,[기모]Half  Zip-Up M-Logo Sweat  (JM5TSU738DA),"69,000","44,850",https://image.msscdn.net/images/goods_img/20211026/2198120/2198120_1_500.jpg,sweatshirt
57,57,https://store.musinsa.com/app/goods/643173,어텐션로우,로코 피그먼트 리버시블 헤비 맨투맨 (다크그레이),"88,000","59,000",https://image.msscdn.net/images/goods_img/20170926/643173/643173_4_500.jpg,sweatshirt
58,58,https://store.musinsa.com/app/goods/1718760,더블유브이프로젝트,[세트] 프레니 세트 4종(맨투맨MJMT7407 + 팬츠CJLP7442),"67,800","59,800",https://image.msscdn.net/images/goods_img/20201210/1718760/1718760_1_500.jpg,sweatshirt
59,59,https://store.musinsa.com/app/goods/1340997,아웃스탠딩,V.S.C SWEAT(OLYMPIA)_1% MELANGE GRAY,"69,000","55,200",https://image.msscdn.net/images/goods_img/20200309/1340997/1340997_1_500.jpg,sweatshirt
60,60,https://store.musinsa.com/app/goods/1627492,그레이버,[UNISEX]엘보우 스마일드로잉 클립 맨투맨_블랙,"65,000","45,500",https://image.msscdn.net/images/goods_img/20200928/1627492/1627492_1_500.jpg,sweatshirt
61,61,https://store.musinsa.com/app/goods/1855729,지프,Half  Zip-Up M-Logo Sweat  (JM5TSU838OB),"69,000","44,850",https://image.msscdn.net/images/goods_img/20210322/1855729/1855729_1_500.jpg,sweatshirt
62,62,https://store.musinsa.com/app/goods/2061538,디폴트벨류,FOUR OTTERS SWEAT SHIRTS,"69,000","19,900",https://image.msscdn.net/images/goods_img/20210812/2061538/2061538_2_500.jpg,sweatshirt
63,63,https://store.musinsa.com/app/goods/2057226,아웃스탠딩,V.S.C SWEAT (MINNESOTA)_GREEN,"69,000","55,200",https://image.msscdn.net/images/goods_img/20210811/2057226/2057226_1_500.jpg,sweatshirt
64,64,https://store.musinsa.com/app/goods/1708409,이벳필드,베츠 어센틱 맨투맨 네이비,"59,000","47,200",https://image.msscdn.net/images/goods_img/20201201/1708409/1708409_3_500.jpg,sweatshirt
65,65,https://store.musinsa.com/app/goods/2096929,필루미네이트,오버핏 아치 로고 스웨트 셔츠-와인,"54,000","39,900",https://image.msscdn.net/images/goods_img/20210830/2096929/2096929_3_500.jpg,sweatshirt
66,66,https://store.musinsa.com/app/goods/2204747,마르디 메크르디,SWEATSHIRT FLOWERMARDI_OATMEAL GREEN,"75,000",,https://image.msscdn.net/images/goods_img/20211028/2204747/2204747_1_500.jpg,sweatshirt
67,67,https://store.musinsa.com/app/goods/1571348,리,빅 트위치 루즈핏 크루넥 블랙,"59,000","41,300",https://image.msscdn.net/images/goods_img/20200831/1571348/1571348_9_500.jpg,sweatshirt
