,index,url,brand,name,price,discount_price,thumbnail,category
26,26,https://store.musinsa.com/app/goods/2147440,예일,2 TONE ARCH HOODIE LIGHT KHAKI,"79,000","55,300",https://image.msscdn.net/images/goods_img/20210927/2147440/2147440_3_500.jpg,hoodie
27,27,https://store.musinsa.com/app/goods/1742661,예일,2 TONE ARCH HOODIE BLACK,"79,000","55,300",https://image.msscdn.net/images/goods_img/20210111/1742661/1742661_4_500.jpg,hoodie
28,28,https://store.musinsa.com/app/goods/2099766,디스이즈네버댓,Arch-Logo Hoodie Black,"82,000","57,400",https://image.msscdn.net/images/goods_img/20210831/2099766/2099766_1_500.jpg,hoodie
29,29,https://store.musinsa.com/app/goods/1752734,마크 곤잘레스,엔젤 와펜 후드 그레이,"69,000","48,300",https://image.msscdn.net/images/goods_img/20210118/1752734/1752734_2_500.jpg,hoodie
30,30,https://store.musinsa.com/app/goods/1738717,더블유브이프로젝트,미드나잇 후드 다크그레이 MJHD7447,"39,800",,https://image.msscdn.net/images/goods_img/20210107/1738717/1738717_1_500.jpg,hoodie
31,31,https://store.musinsa.com/app/goods/1211169,어반드레스,UNISEX LAUREL OVERSIZED HOODIE BLACK,"69,000","47,610",https://image.msscdn.net/images/goods_img/20191103/1211169/1211169_9_500.jpg,hoodie
32,32,https://store.musinsa.com/app/goods/2106707,티떠블유엔,슬레이크 후드 네이비 HHHD3397,"38,900","36,900",https://image.msscdn.net/images/goods_img/20210902/2106707/2106707_1_500.jpg,hoodie
33,33,https://store.musinsa.com/app/goods/1584097,오드스튜디오,ODSD 로고 아플리케 후드 - 8COLOR,"79,000","47,800",https://image.msscdn.net/images/goods_img/20200904/1584097/1584097_3_500.jpg,hoodie
34,34,https://store.musinsa.com/app/goods/1261286,마크 곤잘레스,사인 로고 후드 아이보리,"69,000","48,300",https://image.msscdn.net/images/goods_img/20200102/1261286/1261286_2_500.jpg,hoodie
35,35,https://store.musinsa.com/app/goods/2043588,노매뉴얼,DOODLE LOGO HOODIE - BLACK,"87,000","69,600",https://image.msscdn.net/images/goods_img/20210729/2043588/2043588_1_500.jpg,hoodie
36,36,https://store.musinsa.com/app/goods/1642904,무신사 스탠다드,헤비웨이트 오버사이즈 후디드 스웨트셔츠 [미디엄 그레이],"37,900",,https://image.msscdn.net/images/goods_img/20201012/1642904/1642904_1_500.jpg,hoodie
37,37,https://store.musinsa.com/app/goods/1742320,마하그리드,COLLEGE LOGO HOODIE BLACK(MG2BSMM401A),"69,000","48,300",https://image.msscdn.net/images/goods_img/20210111/1742320/1742320_1_500.jpg,hoodie
38,38,https://store.musinsa.com/app/goods/1211177,어반드레스,UNISEX LAUREL OVERSIZED HOODIE CREAM,"69,000","38,640",https://image.msscdn.net/images/goods_img/20191103/1211177/1211177_10_500.jpg,hoodie
39,39,https://store.musinsa.com/app/goods/2058191,브라운브레스,[송필드pick] PAISLEY TAG HOODIE - MELANGE GREY,"79,000","69,000",https://image.msscdn.net/images/goods_img/20210811/2058191/2058191_2_500.jpg,hoodie
40,40,https://store.musinsa.com/app/goods/1742321,마하그리드,COLLEGE LOGO HOODIE GREY(MG2BSMM401A),"69,000","48,300",https://image.msscdn.net/images/goods_img/20210111/1742321/1742321_2_500.jpg,hoodie
41,41,https://store.musinsa.com/app/goods/1211172,어반드레스,UNISEX LAUREL OVERSIZED HOODIE GREY,"69,000","38,640",https://image.msscdn.net/images/goods_img/20191103/1211172/1211172_6_500.jpg,hoodie
42,42,https://store.musinsa.com/app/goods/867042,엠엠엘지,[Mmlg] MMLG HOOD (GREY),"79,000","55,300",https://image.msscdn.net/images/goods_img/20180927/867042/867042_2_500.jpg,hoodie
