,index,url,brand,name,price,discount_price,thumbnail,category
30,30,https://store.musinsa.com/app/goods/1852718,피아네르,[2장 세트] 레이어드 트임 나시 (2color),"73,800","19,900",https://image.msscdn.net/images/goods_img/20210318/1852718/1852718_1_500.jpg,sleeveless
31,31,https://store.musinsa.com/app/goods/1327521,어텐션로우,베타 네오민트 라벨 롱 슬리브리스 (5COLOR),"28,000","23,800",https://image.msscdn.net/images/goods_img/20200228/1327521/1327521_2_500.jpg,sleeveless
32,32,https://store.musinsa.com/app/goods/2272553,헤더먼트,홀터넥 슬리브리스 (블랙),"38,000",,https://image.msscdn.net/images/goods_img/20211217/2272553/2272553_1_500.jpg,sleeveless
33,33,https://store.musinsa.com/app/goods/2272554,헤더먼트,홀터넥 슬리브리스 (화이트),"38,000",,https://image.msscdn.net/images/goods_img/20211217/2272554/2272554_1_500.jpg,sleeveless
34,34,https://store.musinsa.com/app/goods/2270805,타미진스,슈퍼 크롭 뱃지 립 캐미 탑 (T32C0KTO13TWT7ACE),"78,000",,https://image.msscdn.net/images/goods_img/20211216/2270805/2270805_1_500.jpg,sleeveless
35,35,https://store.musinsa.com/app/goods/1895334,에이치덱스,어센틱 메인로고 머슬핏 민소매 5 color,"72,500","31,600",https://image.msscdn.net/images/goods_img/20210413/1895334/1895334_2_500.jpg,sleeveless
36,36,https://store.musinsa.com/app/goods/1972001,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [다크 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20210527/1972001/1972001_2_500.jpg,sleeveless
37,37,https://store.musinsa.com/app/goods/2263587,제이린드버그,[Women] 레야 슬리브리스 골프 탑,"172,000",,https://image.msscdn.net/images/goods_img/20211209/2263587/2263587_1_500.jpg,sleeveless
38,38,https://store.musinsa.com/app/goods/2027736,닉앤니콜,스퀘어 넥 니트 슬리브리스_아이보리,"39,000","19,500",https://image.msscdn.net/images/goods_img/20210713/2027736/2027736_1_500.jpg,sleeveless
39,39,https://store.musinsa.com/app/goods/1382695,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [미디엄 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20200402/1382695/1382695_5_500.jpg,sleeveless
40,40,https://store.musinsa.com/app/goods/2263776,제이린드버그,[Women] 헤일리 메쉬 베스트,"252,000",,https://image.msscdn.net/images/goods_img/20211209/2263776/2263776_1_500.jpg,sleeveless
41,41,https://store.musinsa.com/app/goods/1412388,엘무드,에센셜 수피마 슬리브리스 블랙,"38,000","30,400",https://image.msscdn.net/images/goods_img/20200421/1412388/1412388_3_500.jpg,sleeveless
42,42,https://store.musinsa.com/app/goods/1386128,아차,메쉬 레이어드 슬리브리스 _ 화이트,"29,000","23,200",https://image.msscdn.net/images/goods_img/20200405/1386128/1386128_1_500.jpg,sleeveless
43,43,https://store.musinsa.com/app/goods/1917577,어커버,[세트상품] 스퀘어 넥 숏 슬리브리스 3color,"30,000","17,800",https://image.msscdn.net/images/goods_img/20210423/1917577/1917577_1_500.jpg,sleeveless
44,44,https://store.musinsa.com/app/goods/2027738,닉앤니콜,스퀘어 넥 니트 슬리브리스_블랙,"39,000","19,500",https://image.msscdn.net/images/goods_img/20210713/2027738/2027738_1_500.jpg,sleeveless
45,45,https://store.musinsa.com/app/goods/2263591,제이린드버그,[Women] 레야 슬리브리스 골프 탑,"172,000",,https://image.msscdn.net/images/goods_img/20211209/2263591/2263591_1_500.jpg,sleeveless
46,46,https://store.musinsa.com/app/goods/1306928,네스티팬시클럽,[NF] FANCY CHECK LINE SLEEVELESS (BLACK)(20SS-F521),"25,000","22,500",https://image.msscdn.net/images/goods_img/20200214/1306928/1306928_2_500.jpg,sleeveless
47,47,https://store.musinsa.com/app/goods/1957232,에이치덱스,아치 로고 나시 6 color,"71,000","31,900",https://image.msscdn.net/images/goods_img/20210518/1957232/1957232_1_500.jpg,sleeveless
48,48,https://store.musinsa.com/app/goods/2264619,메조쿤스트,블리치 페플럼 뷔스티에 - 블루,"69,000",,https://image.msscdn.net/images/goods_img/20211210/2264619/2264619_1_500.jpg,sleeveless
49,49,https://store.musinsa.com/app/goods/2264617,메조쿤스트,스트랩 레이어 니트 뷔스티에 - 그레이,"69,000",,https://image.msscdn.net/images/goods_img/20211210/2264617/2264617_3_500.jpg,sleeveless
50,50,https://store.musinsa.com/app/goods/2264618,메조쿤스트,스트랩 레이어 니트 뷔스티에 - 블랙,"69,000",,https://image.msscdn.net/images/goods_img/20211210/2264618/2264618_4_500.jpg,sleeveless
51,51,https://store.musinsa.com/app/goods/722148,커스텀어클락,레이어드 슬리브리스 티 그레이,"25,000","14,900",https://image.msscdn.net/images/goods_img/20180222/722148/722148_3_500.jpg,sleeveless
52,52,https://store.musinsa.com/app/goods/2086665,무신사 스탠다드,레이어드 슬리브리스 탑_일반 기장 [라이트 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20210825/2086665/2086665_1_500.jpg,sleeveless
53,53,https://store.musinsa.com/app/goods/2263913,제이린드버그,[Women] 엘라 슬리브리스 메쉬 골프 탑,"188,000",,https://image.msscdn.net/images/goods_img/20211209/2263913/2263913_1_500.jpg,sleeveless
54,54,https://store.musinsa.com/app/goods/2264620,메조쿤스트,블리치 페플럼 뷔스티에 - 블랙,"69,000",,https://image.msscdn.net/images/goods_img/20211210/2264620/2264620_5_500.jpg,sleeveless
55,55,https://store.musinsa.com/app/goods/1917557,어커버,스퀘어 넥 롱 슬리브리스 3color,"15,000","9,800",https://image.msscdn.net/images/goods_img/20210423/1917557/1917557_2_500.jpg,sleeveless
56,56,https://store.musinsa.com/app/goods/812009,드리프트아웃,DB-038 트로피컬 베어,"28,000","22,900",https://image.msscdn.net/images/goods_img/20180706/812009/812009_1_500.jpg,sleeveless
57,57,https://store.musinsa.com/app/goods/1412389,엘무드,에센셜 수피마 슬리브리스 화이트,"38,000","30,400",https://image.msscdn.net/images/goods_img/20200421/1412389/1412389_2_500.jpg,sleeveless
58,58,https://store.musinsa.com/app/goods/1425556,모더먼트,[패키지] 레이어드 오버핏 슬리브리스 나시 2PACK (화이트),"54,000","36,900",https://image.msscdn.net/images/goods_img/20200428/1425556/1425556_2_500.jpg,sleeveless
59,59,https://store.musinsa.com/app/goods/2263597,제이린드버그,[Women] 엘라 슬리브리스 메쉬 골프 탑,"188,000",,https://image.msscdn.net/images/goods_img/20211209/2263597/2263597_1_500.jpg,sleeveless
60,60,https://store.musinsa.com/app/goods/2263595,제이린드버그,[Women] 레야 슬리브리스 골프 탑,"172,000",,https://image.msscdn.net/images/goods_img/20211209/2263595/2263595_1_500.jpg,sleeveless
61,61,https://store.musinsa.com/app/goods/1975193,브렌슨,[패키지] 20수 이지 루즈핏 나시,"43,800","21,900",https://image.msscdn.net/images/goods_img/20210531/1975193/1975193_1_500.jpg,sleeveless
62,62,https://store.musinsa.com/app/goods/1852665,피아네르,레이어드 트임 나시 (white),"36,900","11,900",https://image.msscdn.net/images/goods_img/20210318/1852665/1852665_1_500.jpg,sleeveless
63,63,https://store.musinsa.com/app/goods/385163,드리프트아웃,DB-014 -VACATION-,"28,000","24,900",https://image.msscdn.net/images/goods_img/20160715/385163/385163_1_500.jpg,sleeveless
